kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_time0bk,koi_depth,koi_impact,koi_duration,koi_ror,koi_steff,koi_slogg,koi_srad,ra,dec
11455181,K03131.01,Kepler-1437 b,CONFIRMED,10.9294815,141.5034,196.9,0.197,5.893,0.012816,5792.0,4.547,0.864,291.86493,49.32592
10290666,K00332.01,Kepler-526 b,CONFIRMED,5.45849914,172.08857,255.9,0.65,4.0448,0.015387,5914.0,4.396,1.135,297.65094,47.39629
10337258,K00333.01,Kepler-527 b,CONFIRMED,13.28536452,169.86052,377.6,0.774,6.283,0.019435,6534.0,3.973,1.9,290.95792,47.406281
10383687,K00334.01,,FALSE POSITIVE,8.4879444,176.92505,119.3,0.752,3.224,0.010853,6134.0,4.396,1.039,280.88184,47.564243
10470206,K00335.01,,FALSE POSITIVE,46.56675437,196.31173,801.1,0.87,7.831,0.029707,6629.0,4.132,1.619,291.81857,47.675282
10518725,K00336.01,,FALSE POSITIVE,19.5148412,132.60757,102.7,0.742,3.096,0.010027,7004.0,3.854,2.556,283.91089,47.787048
12314973,K00279.02,Kepler-450 c,CONFIRMED,15.4130812,136.94324,264.3,0.372,6.6358,0.015072,6206.0,4.159,1.573,295.48651,51.0135
5450893,K02970.01,Kepler-1890 b,CONFIRMED,4.82051088,135.78541,40.9,0.922,3.588,0.00709,6046.0,4.158,1.396,292.57779,40.667858
5091016,K02973.01,,FALSE POSITIVE,5.76556718,134.96501,213.3,0.678,3.138,0.014194,6218.0,4.404,1.072,289.29266,40.270611
8827575,K03052.02,Kepler-1992 b,CONFIRMED,15.6112238,144.8735,113.5,0.468,3.873,0.009854,5383.0,4.528,0.842,295.09027,45.081181
2716801,K03053.01,Kepler-1419 b,CONFIRMED,42.5217006,136.1274,685.6,0.495,5.723,0.024534,5911.0,4.519,0.914,292.25464,37.97142
7281454,K03055.01,,FALSE POSITIVE,0.566805887,131.8203886,1.7,0.762,5.2317,0.001289,5000.0,4.708,0.549,291.60175,42.86388
7216284,K03056.01,Kepler-1420 b,CONFIRMED,6.69958851,134.1468,253.7,0.0,2.831,0.01426,5296.0,4.586,0.799,296.20383,42.777828
8703887,K00287.01,,FALSE POSITIVE,14.170972781,175.60775,13496.5,0.579,3.7316,0.111515,8347.0,4.231,1.715,296.935,44.850269
9899352,K03135.01,,FALSE POSITIVE,1.332562831,132.05088,297.9,1.241,6.24,0.257706,5718.0,4.549,0.863,295.21036,46.749321
6945786,K03136.01,Kepler-1909 b,CONFIRMED,2.39161966,133.07956,189.2,0.299,1.906,0.012434,4935.0,4.589,0.685,290.88931,42.45966
5978170,K03140.01,Kepler-1910 b,CONFIRMED,5.68879083,131.6672,241.5,0.39,2.55,0.014153,4234.0,4.63,0.639,296.61725,41.281189
5440317,K03141.01,Kepler-1438 b,CONFIRMED,2.31941571,131.93925,96.4,0.429,1.591,0.009078,5624.0,4.256,1.248,289.28979,40.681671
10545066,K00337.01,Kepler-528 b,CONFIRMED,19.7830259,177.72013,373.2,0.015,5.4898,0.017519,5747.0,4.335,1.099,295.68481,47.748081
6056992,K00051.01,,FALSE POSITIVE,10.431146765,133.936337,29375.6,1.225,3.8853,0.461939,5780.0,4.438,1.0,295.91885,41.332432
10552611,K00338.01,Kepler-141 c,CONFIRMED,7.0106324,174.57542,327.3,0.683,3.0688,0.017555,4908.0,4.567,0.782,297.97089,47.731682
10552611,K00338.02,Kepler-141 b,CONFIRMED,3.10762684,132.63359,77.2,0.7,2.361,0.008591,4908.0,4.567,0.782,297.97089,47.731682
10587105,K00339.01,Kepler-529 b,CONFIRMED,1.980356674,170.139601,271.9,0.713,2.4743,0.016185,6078.0,4.29,1.189,285.88837,47.880379
10587105,K00339.02,Kepler-529 c,CONFIRMED,12.8344771,138.32626,281.0,0.956,3.846,0.019618,6078.0,4.29,1.189,285.88837,47.880379
6948480,K02975.01,,FALSE POSITIVE,175.329014,230.9292,1059.1,1.231,6.269,0.266206,6008.0,4.499,0.93,291.78754,42.469528
11090556,K02977.01,Kepler-1398 b,CONFIRMED,2.7881793,131.84558,55.8,0.058,3.397,0.006774,5758.0,4.168,1.385,294.86618,48.638981
11090556,K02977.02,Kepler-1398 c,CONFIRMED,4.13827684,133.2285,63.8,0.499,3.449,0.007466,5758.0,4.168,1.385,294.86618,48.638981
10686814,K02978.01,,FALSE POSITIVE,2.61846258,134.02945,275.3,0.013,3.505,0.014685,4266.0,4.626,0.643,299.03448,47.90485
3234843,K03057.01,Kepler-405 c,CONFIRMED,29.72722,134.6581,1010.2,0.744,3.45,0.031506,5815.0,4.54,0.877,291.40945,38.340019
6021275,K00284.01,Kepler-132 d,CONFIRMED,18.01019956,179.42137,177.7,0.966,3.516,0.01602,5931.0,4.322,1.101,283.23581,41.34304
3234843,K03057.02,Kepler-405 b,CONFIRMED,10.61368712,140.85316,559.8,0.024,3.498,0.021552,5815.0,4.54,0.877,291.40945,38.340019
8192911,K03058.01,,FALSE POSITIVE,7.53887442,135.3319,342.1,0.727,3.147,0.018224,5318.0,4.601,0.667,299.72845,44.031811
10554967,K03059.01,,FALSE POSITIVE,0.53633519,131.71447,444.1,0.489,1.0547,0.019776,5508.0,4.569,0.84,298.65317,47.713711
5688790,K03144.01,Kepler-1439 b,CONFIRMED,8.07394097,540.04161,1056.0,0.928,2.455,0.03663,3675.0,4.869,0.398,285.73981,40.980049
1717722,K03145.01,Kepler-1977 b,CONFIRMED,4.53702121,132.1846,504.4,0.706,1.813,0.022053,4805.0,4.633,0.688,290.61798,37.289089
10908248,K03146.01,Kepler-1440 b,CONFIRMED,39.859505,154.7616,155.5,0.398,7.987,0.011483,5675.0,4.209,1.292,285.34695,48.312248
10616571,K00340.01,,FALSE POSITIVE,23.6731242,160.628756,23112.9,0.21,14.3948,0.138011,5769.0,4.338,1.177,297.66467,47.801392
10878263,K00341.01,Kepler-414 c,CONFIRMED,7.170710381,176.666844,863.3,0.188,2.9225,0.026573,5497.0,4.437,0.941,297.96155,48.244362
10878263,K00341.02,Kepler-414 b,CONFIRMED,4.699652821,177.61519,351.4,0.135,2.553,0.016925,5497.0,4.437,0.941,297.96155,48.244362
10982872,K00343.01,Kepler-142 c,CONFIRMED,4.761705895,170.335759,497.1,0.384,3.3061,0.020577,5794.0,4.263,1.225,295.1189,48.481281
10982872,K00343.02,Kepler-142 b,CONFIRMED,2.024143568,170.496204,239.4,0.513,2.5273,0.014511,5794.0,4.263,1.225,295.1189,48.481281
2720514,K02979.01,,FALSE POSITIVE,1.371288853,131.93796,66.2,0.953,1.4528,0.009465,6220.0,4.378,1.108,293.0708,37.98687
4141376,K00280.01,Kepler-1655 b,CONFIRMED,11.87290814,180.895933,332.7,0.904,2.5342,0.019838,6147.0,4.412,1.04,286.68945,39.21191
9468551,K02980.01,Kepler-1399 b,CONFIRMED,1.638652525,132.29025,166.9,0.365,1.952,0.012008,6119.0,4.472,0.981,293.31168,46.04171
9076971,K02981.01,Kepler-1400 b,CONFIRMED,9.06687613,134.75185,367.2,0.928,3.381,0.022102,5142.0,4.515,0.789,286.27167,45.440811
8360640,K02982.01,Kepler-1891 b,CONFIRMED,4.0223109,135.17298,227.8,0.741,0.853,0.015181,5516.0,4.544,0.827,290.04388,44.370602
11019987,K03060.01,Kepler-1421 b,CONFIRMED,6.9131732,138.4219,39.1,0.264,4.73,0.005778,6296.0,4.21,1.444,286.5806,48.544189
4857058,K03061.01,Kepler-1983 b,CONFIRMED,7.32851947,132.12857,277.8,0.983,1.211,0.024449,5135.0,4.464,0.874,297.04208,39.912231
10924562,K03063.01,Kepler-1422 b,CONFIRMED,18.6052046,149.0376,242.5,0.093,6.829,0.014369,6572.0,4.365,1.238,293.8902,48.336121
9899505,K03064.01,,FALSE POSITIVE,1.332562787,132.05138,1111.9,1.24,6.28,0.275597,6091.0,4.487,0.967,295.26227,46.78138
7534267,K03147.01,Kepler-1441 b,CONFIRMED,39.4420781,169.1411,172.4,0.42,7.029,0.012063,5430.0,3.923,1.902,293.71912,43.124592
9592705,K00288.01,Kepler-1714 b,CONFIRMED,10.27532513,177.27227,209.7,0.315,6.3093,0.013362,6150.0,3.96,2.086,293.71646,46.226654
10611420,K03148.01,,FALSE POSITIVE,11.50528603,135.1016,260.2,0.461,2.098,0.015153,6355.0,4.41,1.108,296.11734,47.879829
10386922,K00289.01,Kepler-511 c,CONFIRMED,26.62941953,191.99627,492.8,0.015,7.8709,0.020245,5866.0,4.117,1.417,282.94565,47.574905
10386922,K00289.02,Kepler-511 b,CONFIRMED,296.6375817,403.672042,2763.1,0.429,16.425,0.048876,5866.0,4.117,1.417,282.94565,47.574905
